picked_at_utc,bucket_timestamp,rank,symbol,name,token_address,chain,score,entry_close_price
2026-03-05T12:06:19.569550+00:00,2026-03-05T11:40:00+00:00,1,USDC,USD Coin,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,eth,0.38260796314608925,0.0006754465846
2026-03-05T12:06:19.569550+00:00,2026-03-05T11:45:00+00:00,2,ASTER,Aster,0x000ae314e2a2172a039b26378814c252734f556a,bsc,0.3578455603527687,0.7523399433435478
2026-03-05T12:06:19.569550+00:00,2026-03-05T11:45:00+00:00,3,BSB,Block Street,0x595deaad1eb5476ff1e649fdb7efc36f1e4679cc,bsc,0.35359335328037844,0.12443664818739061
2026-03-05T12:06:19.569550+00:00,2026-03-05T11:45:00+00:00,4,CRTR,CReaToR,0xb150e91cb40909f47d45115ee9e90667d807464b,bsc,0.33111928578460814,0.04839188966550499
2026-03-05T12:06:19.569550+00:00,2026-03-05T11:40:00+00:00,5,PIPPIN,pippin,Dfh5DzRgSvvCFDoYc2ciTkMrbDfRKybA4SoFbPmApump,solana,0.31356002610691686,0.3553800164734594
2026-03-05T12:06:19.569550+00:00,2026-03-05T11:35:00+00:00,6,VIRTUAL,Virtuals Protocol,0x0b3e328455c4059eeb9e3f84b5543f74e24e7e1b,base,0.30634785795867064,0.7476396452640519
2026-03-05T12:06:19.569550+00:00,2026-03-05T11:35:00+00:00,7,VVV,Venice Token,0xacfe6019ed1a7dc6f7b508c02d1b04ec88cc21bf,base,0.29186490227073286,6.85856191710914
2026-03-05T12:06:19.569550+00:00,2026-03-05T11:35:00+00:00,8,SOL,Base Bridged SOL (Base),0x311935cd80b76769bf2ecc9d8ab7635b2139cf82,base,0.28446095883515876,91.88622708846535
